top - 11:09:44 up  1:14,  1 user,  load average: 0.85, 0.47, 0.25
Tasks: 209 total,   1 running, 173 sleeping,   0 stopped,   0 zombie
%Cpu(s):  9.7 us,  3.6 sy,  0.1 ni, 84.6 id,  1.9 wa,  0.0 hi,  0.2 si,  0.0 st
KiB Mem :  7255932 total,  4513732 free,  1713772 used,  1028428 buff/cache
KiB Swap:  4192252 total,  4192252 free,        0 used.  5559948 avail Mem 

  PID USER      PR  NI    VIRT    RES    SHR S  %CPU %MEM     TIME+ COMMAND
 1521 akhil     20   0 3328804 241716  85148 S  25.0  3.3   3:46.82 gnome-shell
 3165 akhil     20   0 1873256 346428 129484 S  12.5  4.8   0:52.96 Web Content
 1381 akhil     20   0  118972   3752   3204 S   6.2  0.1   0:04.98 VBoxClient
 1891 akhil     20   0  921192  50480  36616 S   6.2  0.7   0:02.65 nautilus
 3333 akhil     20   0   41776   3700   3176 R   6.2  0.1   0:00.01 top
    1 root      20   0  159916   9284   6764 S   0.0  0.1   0:02.11 systemd
    2 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kthreadd
    4 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 kworker/0:+
    6 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 mm_percpu_+
    7 root      20   0       0      0      0 S   0.0  0.0   0:00.21 ksoftirqd/0
    8 root      20   0       0      0      0 I   0.0  0.0   0:00.83 rcu_sched
    9 root      20   0       0      0      0 I   0.0  0.0   0:00.00 rcu_bh
   10 root      rt   0       0      0      0 S   0.0  0.0   0:00.00 migration/0
   11 root      rt   0       0      0      0 S   0.0  0.0   0:00.01 watchdog/0
   12 root      20   0       0      0      0 S   0.0  0.0   0:00.00 cpuhp/0
   13 root      20   0       0      0      0 S   0.0  0.0   0:00.00 cpuhp/1
   14 root      rt   0       0      0      0 S   0.0  0.0   0:00.01 watchdog/1
   15 root      rt   0       0      0      0 S   0.0  0.0   0:00.00 migration/1
   16 root      20   0       0      0      0 S   0.0  0.0   0:00.33 ksoftirqd/1
   18 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 kworker/1:+
   19 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kdevtmpfs
   20 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 netns
   21 root      20   0       0      0      0 S   0.0  0.0   0:00.00 rcu_tasks_+
   22 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kauditd
   23 root      20   0       0      0      0 I   0.0  0.0   0:00.20 kworker/0:1
   24 root      20   0       0      0      0 S   0.0  0.0   0:00.00 khungtaskd
   25 root      20   0       0      0      0 S   0.0  0.0   0:00.00 oom_reaper
   26 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 writeback
   27 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kcompactd0
   28 root      25   5       0      0      0 S   0.0  0.0   0:00.00 ksmd
   29 root      39  19       0      0      0 S   0.0  0.0   0:00.00 khugepaged
   30 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 crypto
   31 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 kintegrityd
   32 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 kblockd
   33 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 ata_sff
   34 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 md
   35 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 edac-poller
   36 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 devfreq_wq
   37 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 watchdogd
   39 root      20   0       0      0      0 I   0.0  0.0   0:01.20 kworker/1:1
   41 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kswapd0
   42 root      20   0       0      0      0 S   0.0  0.0   0:00.00 ecryptfs-k+
   84 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 kthrotld
   85 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 acpi_therm+
   86 root      20   0       0      0      0 S   0.0  0.0   0:00.00 scsi_eh_0
   87 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 scsi_tmf_0
   88 root      20   0       0      0      0 S   0.0  0.0   0:00.00 scsi_eh_1
   89 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 scsi_tmf_1
   95 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 ipv6_addrc+
  104 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 kstrp
  121 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 charger_ma+
  156 root      20   0       0      0      0 I   0.0  0.0   0:00.00 kworker/1:2
  158 root      20   0       0      0      0 S   0.0  0.0   0:00.00 scsi_eh_2
  159 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 scsi_tmf_2
  163 root       0 -20       0      0      0 I   0.0  0.0   0:00.18 kworker/0:+
  164 root       0 -20       0      0      0 I   0.0  0.0   0:00.12 kworker/1:+
  192 root      20   0       0      0      0 S   0.0  0.0   0:00.25 jbd2/sda1-8
  193 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 ext4-rsv-c+
  227 root      19  -1  103468  25788  24664 S   0.0  0.4   0:00.66 systemd-jo+
  241 root      20   0   47440   5692   3168 S   0.0  0.1   0:00.36 systemd-ud+
  270 systemd+  20   0   71012   6416   5344 S   0.0  0.1   0:01.34 systemd-re+
  335 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 iprt-VBoxW+
  395 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 ttm_swap
  470 root      20   0  110408   1936   1716 S   0.0  0.0   0:00.22 irqbalance
  471 syslog    20   0  263036   4392   3628 S   0.0  0.1   0:00.12 rsyslogd
  472 root      20   0   70592   6072   5320 S   0.0  0.1   0:00.18 systemd-lo+
  475 root      20   0  287668   6904   5868 S   0.0  0.1   0:00.23 accounts-d+
  506 root      20   0  170520  17244   9244 S   0.0  0.2   0:00.23 networkd-d+
  530 root      20   0    4552    744    684 S   0.0  0.0   0:00.18 acpid
  540 root      20   0   31320   3272   2992 S   0.0  0.0   0:00.01 cron
  541 root      20   0  991996  19136  11116 S   0.0  0.3   0:00.52 snapd
  548 message+  20   0   51676   6020   3808 S   0.0  0.1   0:01.21 dbus-daemon
  671 root      20   0   44752   5212   4708 S   0.0  0.1   0:00.02 wpa_suppli+
  672 avahi     20   0   47256   3276   2932 S   0.0  0.0   0:00.06 avahi-daem+
  673 root      20   0  503024  11048   9008 S   0.0  0.2   0:00.11 udisksd
  674 root      20   0  353520   9120   7772 S   0.0  0.1   0:00.08 ModemManag+
  675 root      20   0  558480  16596  13772 S   0.0  0.2   0:00.29 NetworkMan+
  707 avahi     20   0   47076    344      0 S   0.0  0.0   0:00.00 avahi-daem+
  709 root      20   0  296524   9680   6524 S   0.0  0.1   0:00.57 polkitd
  753 root      20   0  248536   1916   1484 S   0.0  0.0   0:00.82 VBoxService
  774 root      20   0  301068   7920   6752 S   0.0  0.1   0:00.06 gdm3
  785 root      20   0   25656   6140   4928 S   0.0  0.1   0:00.00 dhclient
  856 whoopsie  20   0  388596  12544  10924 S   0.0  0.2   0:00.05 whoopsie
  862 kernoops  20   0   56932    424      0 S   0.0  0.0   0:00.03 kerneloops
  864 kernoops  20   0   56932    420      0 S   0.0  0.0   0:00.03 kerneloops
 1001 root      20   0  315172   8448   7416 S   0.0  0.1   0:00.05 upowerd
